[2026-05-01 20:50:50,007][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Snowflake_Inc.&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:50,007][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Snowflake Inc.&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:50,074][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Snowflake+Inc.&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:50,098][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Apache_Airflow&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:50,168][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Apache_Airflow&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:50,169][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Apache Airflow&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:50,208][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Apache+Airflow&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:50,225][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Apache_Spark&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:50,368][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Apache_Spark&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:50,369][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Apache Spark&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:50,424][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Apache+Spark&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:50,458][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Apache_Beam&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:50,539][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Apache_Beam&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:50,540][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Apache Beam&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:50,595][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Apache+Beam&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:50,606][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Apache_Kafka&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:50,686][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Apache_Kafka&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:50,687][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Apache Kafka&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:50,741][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Apache+Kafka&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:50,760][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=ChromaDB&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:50,847][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=ChromaDB&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:50,848][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=ChromaDB&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:50,910][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=ChromaDB&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:50,940][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Vector_database&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:51,005][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Vector_database&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:51,006][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Vector database&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:51,056][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Vector+database&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:51,078][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Dask_(software)&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:51,151][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Dask_%28software%29&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:51,151][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Dask (software)&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:51,217][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Dask+%28software%29&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:51,240][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Embedding_(machine_learning)&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:51,309][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Embedding_%28machine_learning%29&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:51,310][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Embedding (machine learning)&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:51,367][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Embedding+%28machine+learning%29&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:51,381][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Money_laundering&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:51,487][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Money_laundering&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:51,487][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Money laundering&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:51,544][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Money+laundering&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:51,564][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Data_analysis_for_fraud_detection&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:51,655][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Data_analysis_for_fraud_detection&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
[2026-05-01 20:50:51,657][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Data analysis for fraud detection&explaintext=1&exsectionformat=wiki
[2026-05-01 20:50:51,720][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=extracts&titles=Data+analysis+for+fraud+detection&explaintext=1&exsectionformat=wiki "HTTP/1.1 200 OK"
[2026-05-01 20:50:51,757][wikipediaapi._http_client.sync_http_client][INFO] - Request URL: https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Anti-Money_Laundering_Improvement_Act&inprop=protection|talkid|watched|watchers|visitingwatchers|notificationtimestamp|subjectid|url|readable|preload|displaytitle|varianttitles
[2026-05-01 20:50:51,833][httpx][INFO] - HTTP Request: GET https://en.wikipedia.org/w/api.php?format=json&redirects=1&action=query&prop=info&titles=Anti-Money_Laundering_Improvement_Act&inprop=protection%7Ctalkid%7Cwatched%7Cwatchers%7Cvisitingwatchers%7Cnotificationtimestamp%7Csubjectid%7Curl%7Creadable%7Cpreload%7Cdisplaytitle%7Cvarianttitles "HTTP/1.1 200 OK"
